Alaska_TBD_1    ,0.6  ,100   ,4     ,0.05  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,19 , 27 ,notes
Middle-Am_HD_1  ,0.5  , 40   ,1.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.7  ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,12 ,100 ,notes
N-Africa_HD_1   ,0.6  , 30   ,1.2   ,0.15  ,stone_curtain/conc_masonry   , 0.15  , glass_1c   ,0.65 ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
N-Europe_HD_1   ,0.5  , 40   ,1.6   ,0.15  ,brick_veneer/conc_masonry    , 0.2   , glass_2r_w ,0.6  ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 ,100 ,notes
NC-USA_HD_1     ,0.5  , 40   ,1.6   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,17 , 37 ,notes
NE-USA_HD_1     ,0.5  , 45   ,1.8   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,concrete_road           ,17 , 37 ,notes
NW-USA_HD_1     ,0.5  , 45   ,1.8   ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/concrete_deck        ,concrete_road           ,19 ,100 ,notes
Oceania_HD_1    ,0.6  , 35   ,1.4   ,0.25  ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.5  ,BUR/concrete_deck        ,asphalt_road/simple     ,12 ,100 ,notes
Russia_HD_1     ,0.7  , 45   ,1.8   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,BUR/wood_deck            ,asphalt_road/stabilized ,12 ,100 ,notes
S-Africa_HD_1   ,0.5  , 40   ,1.6   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.6  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 ,100 ,notes
S-Asia_HD_1     ,0.7  , 30   ,1.2   ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.55 ,BUR/wood_deck            ,asphalt_road/simple     ,12 ,100 ,notes
S-Europe_HD_1   ,0.6  , 45   ,1.8   ,0.15  ,plaster_veneer/brick_masonry , 0.2   , glass_2r_w ,0.55 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 , 37 ,notes
SC-USA_HD_1     ,0.5  , 40   ,1.6   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,BUR/concrete_deck        ,concrete_road           ,17 , 27 ,notes
SE-Asia_HD_1    ,0.8  , 30   ,1.2   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,12 ,100 ,notes
SE-USA_HD_1     ,0.5  , 40   ,1.6   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,concrete_road           ,17 , 27 ,notes
SW-USA_HD_1     ,0.5  , 40   ,1.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.6  ,BUR/concrete_deck        ,concrete_road           ,17 , 32 ,notes
Temp-SA_HD_1    ,0.5  , 40   ,1.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.7  ,BUR/wood_deck            ,concrete_road           ,12 ,100 ,notes
Trop-SA_HD_1    ,0.5  , 40   ,1.6   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.65 ,BUR/wood_deck            ,asphalt_road/stabilized ,12 ,100 ,notes
W-Africa_HD_1   ,0.8  , 40   ,1.6   ,0.2   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.75 ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 ,100 ,notes
W-Europe_HD_1   ,0.4  , 45   ,1.8   ,0.15  ,brick_veneer/conc_masonry    , 0.2   , glass_2c   ,0.55 ,galv_steel/metal_joists  ,asphalt_road/stabilized ,12 ,100 ,notes
Alaska_MD_1     ,0.5  , 14   ,0.7   ,0.6   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.25 ,BUR/concrete_deck        ,asphalt_road/simple     ,17 , 37 ,notes
Australia_MD_1  ,0.6  , 15   ,0.6   ,0.3   ,brick_veneer/conc_masonry    , 0.2   , glass_2c   ,0.55 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 , 37 ,notes
Brazil_MD_1     ,0.5  , 15   ,0.6   ,0.1   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.8  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 , 37 ,notes
C-Africa_MD_1   ,0.4  ,  8   ,0.32  ,0.5   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.5  ,ceramic_tile/wood_deck   ,dirt_improved           ,12 ,100 ,notes
C-Asia_MD_1     ,0.7  , 10   ,0.4   ,0.45  ,plaster_veneer/conc_masonry  , 0.2   , glass_1r_w ,0.45 ,galv_steel/metal_joists  ,dirt_unimproved         ,12 ,100 ,notes
Canada_MD_1     ,0.4  , 15   ,0.6   ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 37 ,notes
Caribbean_MD_1  ,0.5  , 13   ,0.52  ,0.3   ,plaster_veneer/brick_masonry , 0.2   , glass_1r_w ,0.55 ,BUR/wood_deck            ,asphalt_road/simple     ,12 ,100 ,notes
China_MD_1      ,0.5  , 12   ,0.48  ,0.4   ,brick_veneer/conc_masonry    , 0.2   , glass_2c   ,0.35 ,BUR/wood_deck            ,asphalt_road/stabilized ,12 , 37 ,notes
E-Africa_MD_1   ,0.6  , 10   ,0.4   ,0.55  ,concrete_block               , 0.075 , glass_1r_t ,0.35 ,BUR/wood_deck            ,dirt_improved           ,12 ,100 ,notes
E-Asia_MD_1     ,0.4  , 17   ,0.68  ,0.35  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/concrete_deck        ,asphalt_road/stabilized ,12 , 37 ,notes
E-Europe_MD_1   ,0.6  , 17   ,0.68  ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,12 , 37 ,notes
Greenland_MD_1  ,0.5  ,  8   ,1     ,0.8   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.1  ,BUR/concrete_deck        ,dirt_improved           ,12 ,100 ,notes
India_MD_1      ,0.5  , 10   ,0.4   ,0.6   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.35 ,BUR/concrete_deck        ,dirt_improved           ,12 ,100 ,notes
Mid-East_MD_1   ,0.5  , 12   ,0.8   ,0.15  ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.65 ,BUR/concrete_deck        ,asphalt_road/simple     ,12 ,100 ,notes
Middle-Am_MD_1  ,0.4  , 12   ,1.6   ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.45 ,ceramic_tile/wood_deck   ,dirt_improved           ,12 ,100 ,notes
N-Africa_MD_1   ,0.5  , 12   ,0.8   ,0.7   ,stone_curtain/conc_masonry   , 0.15  , glass_1c   ,0.2  ,ceramic_tile/wood_deck   ,dirt_unimproved         ,12 ,100 ,notes
N-Europe_MD_1   ,0.5  , 15   ,0.75  ,0.45  ,brick_veneer/conc_masonry    , 0.2   , glass_2r_w ,0.35 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 ,100 ,notes
NC-USA_MD_1     ,0.5  , 12   ,0.48  ,0.45  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.35 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 37 ,notes
NE-USA_MD_1     ,0.4  , 17   ,0.68  ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.45 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 37 ,notes
NW-USA_MD_1     ,0.4  , 12   ,0.48  ,0.35  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.45 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 ,100 ,notes
Oceania_MD_1    ,0.4  , 11   ,0.733 ,0.5   ,concrete_block               , 0.075 , glass_1r_t ,0.35 ,shingles/wood_deck       ,asphalt_road/simple     ,12 ,100 ,notes
Russia_MD_1     ,0.6  , 15   ,0.75  ,0.35  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.4  ,BUR/wood_deck            ,asphalt_road/simple     ,12 ,100 ,notes
S-Africa_MD_1   ,0.4  , 12   ,0.6   ,0.5   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.4  ,BUR/concrete_deck        ,dirt_improved           ,12 ,100 ,notes
S-Asia_MD_1     ,0.5  , 10   ,0.667 ,0.6   ,conc_panel/conc_masonry      , 0.1   , glass_1c   ,0.35 ,BUR/wood_deck            ,dirt_improved           ,12 ,100 ,notes
S-Europe_MD_1   ,0.8  , 15   ,0.75  ,0.35  ,plaster_veneer/brick_masonry , 0.2   , glass_2r_w ,0.4  ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,12 , 37 ,notes
SC-USA_MD_1     ,0.4  , 12   ,0.48  ,0.25  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.5  ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 27 ,notes
SE-Asia_MD_1    ,0.6  , 10   ,0.667 ,0.6   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.35 ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
SE-USA_MD_1     ,0.4  , 12   ,0.48  ,0.3   ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 27 ,notes
SW-USA_MD_1     ,0.4  , 12   ,0.48  ,0.25  ,conc_panel/conc_masonry      , 0.1   , glass_2c   ,0.55 ,BUR/concrete_deck        ,asphalt_road/stabilized ,17 , 32 ,notes
Temp-SA_MD_1    ,0.5  , 12   ,0.6   ,0.2   ,plaster_veneer/conc_masonry  , 0.2   , glass_1r_m ,0.6  ,galv_steel/metal_joists  ,asphalt_road/simple     ,12 ,100 ,notes
Trop-SA_MD_1    ,0.4  , 15   ,0.75  ,0.2   ,concrete_block               , 0.075 , glass_1r_t ,0.6  ,shingles/wood_deck       ,asphalt_road/simple     ,12 ,100 ,notes
W-Africa_MD_1   ,0.7  , 15   ,0.75  ,0.55  ,plaster_veneer/brick_masonry , 0.2   , glass_1r_w ,0.45 ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
W-Europe_MD_1   ,0.4  , 17   ,0.85  ,0.4   ,brick_veneer/conc_masonry    , 0.2   , glass_2c   ,0.35 ,shingles/wood_deck       ,asphalt_road/stabilized ,12 ,100 ,notes
Alaska_LD_1     ,0.8  ,  8   ,0.4   ,0.75  ,wood_frame/alum_siding       , 0.2   , glass_2r_m ,0.15 ,shingles/wood_deck       ,asphalt_road/simple     ,17 , 37 ,notes
Australia_LD_1  ,0.4  ,  8   ,0.4   ,0.55  ,brick_masonry/reinforced     , 0.15  , glass_2r_w ,0.3  ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 , 37 ,notes
Brazil_LD_1     ,0.6  ,  8   ,0.4   ,0.15  ,wood_frame/stucco            , 0.2   , glass_1r_w ,0.75 ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
C-Asia_LD_1     ,0.5  ,  8   ,0.8   ,0.75  ,brick_masonry/reinforced     , 0.15  , glass_1r_w ,0.2  ,ceramic_tile/wood_deck   ,dirt_unimproved         ,12 ,100 ,notes
Canada_LD_1     ,0.5  ,  8   ,0.4   ,0.4   ,wood_frame/hardbrd_siding    , 0.2   , glass_2r_w ,0.45 ,shingles/wood_deck       ,asphalt_road/stabilized ,17 , 37 ,notes
Caribbean_LD_1  ,0.6  ,  3   ,0.3   ,0.7   ,brick_masonry/reinforced     , 0.15  , glass_1r_w ,0.25 ,corrugated_metal         ,dirt_improved           ,12 ,100 ,notes
China_LD_1      ,0.4  ,  8   ,0.8   ,0.75  ,brick_masonry/reinforced     , 0.15  , glass_1r_w ,0.2  ,ceramic_tile/wood_deck   ,dirt_improved           ,12 ,100 ,notes
C-Africa_LD_1   ,0.5  ,  3   ,0.3   ,0.7   ,concrete_block               , 0.075 , glass_1r_t ,0.3  ,corrugated_metal         ,dirt_unimproved         ,12 ,100 ,notes
E-Africa_LD_1   ,0.5  ,  3   ,0.3   ,0.7   ,concrete_block               , 0.075 , glass_1r_t ,0.25 ,ceramic_tile/wood_deck   ,dirt_unimproved         ,12 ,100 ,notes
E-Asia_LD_1     ,0.4  ,  8   ,0.8   ,0.7   ,wood_frame/stucco            , 0.2   , glass_1r_t ,0.15 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,12 ,100 ,notes
E-Europe_LD_1   ,0.5  ,  8   ,0.8   ,0.75  ,brick_masonry/reinforced     , 0.15  , glass_1r_w ,0.2  ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
Greenland_LD_1  ,0.5  ,  8   ,0.5   ,0.8   ,wood_frame/wood_siding       , 0.2   , glass_2r_w ,0.1  ,shingles/wood_deck       ,dirt_improved           ,12 ,100 ,notes
India_LD_1      ,0.6  ,  3   ,0.3   ,0.8   ,rubble                       , 0.05  , glass_1r_w ,0.15 ,corrugated_metal         ,dirt_unimproved         ,12 ,100 ,notes
Mid-East_LD_1   ,0.5  ,  8   ,0.8   ,0.75  ,concrete_block               , 0.075 , glass_1r_t ,0.15 ,ceramic_tile/wood_deck   ,dirt_unimproved         ,12 ,100 ,notes
Middle-Am_LD_1  ,0.5  ,  3   ,0.3   ,0.75  ,brick_masonry/reinforced     , 0.15  , glass_1r_w ,0.2  ,ceramic_tile/wood_deck   ,dirt_unimproved         ,12 ,100 ,notes
N-Africa_LD_1   ,0.4  ,  8   ,0.8   ,0.9   ,mud_wall                     , 0.075 , glass_1r_t ,0.1  ,mud_roof                 ,dirt_unimproved         ,12 ,100 ,notes
N-Europe_LD_1   ,0.5  ,  8   ,0.8   ,0.7   ,wood_frame/hardbrd_siding    , 0.2   , glass_2r_w ,0.2  ,shingles/wood_deck       ,asphalt_road/simple     ,17 ,100 ,notes
NC-USA_LD_1     ,0.5  ,  8   ,0.4   ,0.7   ,wood_frame/wood_siding       , 0.2   , glass_2r_w ,0.2  ,shingles/wood_deck       ,asphalt_road/stabilized ,17 , 37 ,notes
NE-USA_LD_1     ,0.4  ,  8   ,0.6   ,0.65  ,wood_frame/wood_siding       , 0.2   , glass_2r_w ,0.2  ,shingles/wood_deck       ,asphalt_road/stabilized ,17 , 37 ,notes
NW-USA_LD_1     ,0.4  ,  8   ,0.4   ,0.65  ,wood_frame/alum_siding       , 0.2   , glass_2r_m ,0.2  ,shingles/wood_deck       ,asphalt_road/stabilized ,17 ,100 ,notes
Oceania_LD_1    ,0.5  ,  8   ,0.8   ,0.7   ,wood_frame/unins_siding      , 0.1   , glass_1r_m ,0.2  ,shingles/wood_deck       ,dirt_improved           ,12 ,100 ,notes
Russia_LD_1     ,0.5  ,  8   ,0.533 ,0.7   ,brick_masonry/reinforced     , 0.15  , glass_2r_w ,0.2  ,galv_steel/metal_joists  ,asphalt_road/simple     ,12 ,100 ,notes
S-Africa_LD_1   ,0.6  ,  8   ,0.8   ,0.65  ,mud_wall                     , 0.075 , glass_1r_t ,0.25 ,corrugated_metal         ,dirt_unimproved         ,12 ,100 ,notes
S-Asia_LD_1     ,0.7  ,  3   ,0.3   ,0.85  ,mud_wall                     , 0.075 , glass_1r_t ,0.1  ,mud_roof                 ,dirt_unimproved         ,12 ,100 ,notes
S-Europe_LD_1   ,0.6  ,  8   ,0.8   ,0.7   ,wood_frame/stucco            , 0.2   , glass_1r_w ,0.2  ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 , 37 ,notes
SC-USA_LD_1     ,0.4  ,  8   ,0.4   ,0.5   ,wood_frame/wood_siding       , 0.2   , glass_2r_w ,0.35 ,shingles/wood_deck       ,asphalt_road/stabilized ,17 , 27 ,notes
SE-Asia_LD_1    ,0.6  ,  3   ,0.3   ,0.85  ,concrete_block               , 0.075 , glass_1r_t ,0.1  ,ceramic_tile/wood_deck   ,dirt_improved           ,12 ,100 ,notes
SE-USA_LD_1     ,0.6  ,  8   ,0.4   ,0.5   ,wood_frame/alum_siding       , 0.2   , glass_2r_m ,0.35 ,shingles/wood_deck       ,asphalt_road/stabilized ,17 , 27 ,notes
SW-USA_LD_1     ,0.6  ,  8   ,0.4   ,0.5   ,wood_frame/stucco            , 0.2   , glass_2r_w ,0.35 ,ceramic_tile/wood_deck   ,asphalt_road/stabilized ,17 , 32 ,notes
Temp-SA_LD_1    ,0.5  ,  8   ,0.533 ,0.55  ,wood_frame/wood_siding       , 0.2   , glass_1r_w ,0.3  ,galv_steel/metal_joists  ,dirt_improved           ,12 ,100 ,notes
Trop-SA_LD_1    ,0.5  ,  8   ,0.8   ,0.7   ,wood_frame/stucco            , 0.2   , glass_1r_w ,0.3  ,ceramic_tile/wood_deck   ,dirt_improved           ,12 ,100 ,notes
W-Africa_LD_1   ,0.5  ,  3   ,0.3   ,0.85  ,mud_wall                     , 0.075 , glass_1r_t ,0.15 ,mud_roof                 ,dirt_unimproved         ,12 ,100 ,notes
W-Europe_LD_1   ,0.4  ,  8   ,0.8   ,0.7   ,brick_masonry/reinforced     , 0.15  , glass_2r_w ,0.15 ,ceramic_tile/wood_deck   ,asphalt_road/simple     ,12 ,100 ,notes
EOF
Region-Cat-Bld  ,Fbld ,Ht(m) ,H:W   ,Fperv ,wall type                    , Fwind , window type,Froof,roof type                ,road-type               ,Tmn,Tmx ,notes
================================================================================
SVN $Id: city_spec.csv 201 2017-08-08 23:07:49Z kauff $
